title,artist,genre,year,bpm,dur
Bloodstream,Ed Sheeran,pop,2015,89,309
Living For Love,Madonna,dance pop,2015,123,219
Baby Don't Lie,Gwen Stefani,dance pop,2015,100,203
Don't Be so Hard on Yourself,Jess Glynne,dance pop,2015,120,211
Steal My Girl,One Direction,boy band,2015,77,227
Celebrate (From the Original Motion Picture Penguins of Madagascar,Pitbull,dance pop,2015,127,193
We Are Here,Alicia Keys,hip pop,2015,93,285
St Jude,Florence + The Machine,art pop,2015,117,225
Yesterday (feat. Bebe Rexha,David Guetta,dance pop,2015,128,243
Time of Our Lives,Pitbull,dance pop,2015,124,229
Sparks,Hilary Duff,dance pop,2015,122,186
Mr. Put It Down,Ricky Martin,dance pop,2015,128,196
Legendary Lovers,Katy Perry,dance pop,2015,126,224
Spark The Fire,Gwen Stefani,dance pop,2015,120,202
Run Run Run,Kelly Clarkson,dance pop,2015,112,273
Let Me Be Your Lover,Enrique Iglesias,dance pop,2015,112,238
Dangerous,Jennifer Hudson,dance pop,2015,109,255
L.A.LOVE (la la,Fergie,dance pop,2015,202,193
The Hills,The Weeknd,canadian contemporary r&b,2016,113,242
Love Yourself,Justin Bieber,canadian pop,2016,100,234
Cake By The Ocean,DNCE,dance pop,2016,119,219
Don't Let Me Down,The Chainsmokers,electropop,2016,160,208
In the Name of Love,Martin Garrix,big room,2016,134,196
Into You,Ariana Grande,dance pop,2016,108,244
This Is What You Came For,Calvin Harris,dance pop,2016,124,222
Million Reasons,Lady Gaga,dance pop,2016,130,205
Needed Me,Rihanna,barbadian pop,2016,111,192
7 Years,Lukas Graham,danish pop,2016,120,237
CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's \TROLLS\,Justin Timberlake,dance pop,2016,113,236
Work from Home (feat. Ty Dolla $ign,Fifth Harmony,dance pop,2016,105,214
Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b,2016,97,230
Like I'm Gonna Lose You (feat. John Legend,Meghan Trainor,dance pop,2016,108,225
Work,Rihanna,barbadian pop,2016,92,219
Stitches,Shawn Mendes,canadian pop,2016,150,207
"Me,  Myself & I",G-Eazy,hip hop,2016,112,251
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016,102,198
Dangerous Woman,Ariana Grande,dance pop,2016,134,236
Starving,Hailee Steinfeld,dance pop,2016,100,182
Shout Out to My Ex,Little Mix,dance pop,2016,126,246
Electric Love,BURNS,electropop,2016,120,218
Confident,Demi Lovato,dance pop,2016,130,206
Too Good,Drake,canadian hip hop,2016,118,263
Roses,The Chainsmokers,electropop,2016,100,227
Cold Water (feat. Justin Bieber & M,Major Lazer,dance pop,2016,93,185
Me Too,Meghan Trainor,dance pop,2016,124,181
Light It Up (feat. Nyla & Fuse ODG [Remix],Major Lazer,dance pop,2016,108,166
Ain't Your Mama,Jennifer Lopez,dance pop,2016,120,218
Close,Nick Jonas,dance pop,2016,124,234
Toothbrush,DNCE,dance pop,2016,105,232
All We Know,The Chainsmokers,electropop,2016,90,194
Final Song,M,dance pop,2016,105,236
Company,Justin Bieber,canadian pop,2016,95,208
Hands To Myself,Selena Gomez,dance pop,2016,111,201
All I Ask,Adele,british soul,2016,142,272
Just Like Fire (From the Original Motion Picture \Alice Through The Looking Glass\,P!nk,dance pop,2016,163,215
NO,Meghan Trainor,dance pop,2016,92,214
Kill Em With Kindness,Selena Gomez,dance pop,2016,120,218
Cool Girl,Tove Lo,dance pop,2016,102,199
Runnin' (Lose It All,Naughty Boy,tropical house,2016,139,213
Here,Alessia Cara,canadian contemporary r&b,2016,120,199
Perfect Illusion,Lady Gaga,dance pop,2016,125,182
PILLOWTALK,ZAYN,dance pop,2016,125,204
Out Of The Woods,Taylor Swift,pop,2016,92,236
Rise,Katy Perry,dance pop,2016,101,203
Wherever I Go,OneRepublic,dance pop,2016,100,170
Body Say,Demi Lovato,dance pop,2016,87,194
Don't Be A Fool,Shawn Mendes,canadian pop,2016,175,216
LIKE I WOULD,ZAYN,dance pop,2016,113,192
Cheap Thrills,Sia,australian dance,2016,90,225
I Got You,Bebe Rexha,dance pop,2016,98,192
Run Away With Me,Carly Rae Jepsen,canadian pop,2016,119,251
Cruel (feat. ZAYN,Snakehips,dance pop,2016,110,228
Send My Love (To Your New Lover,Adele,british soul,2016,164,223
WTF (Where They From,Missy Elliott,dance pop,2016,120,193
Desire,Years & Years,dance pop,2016,126,203
When We Were Young,Adele,british soul,2016,144,291
I Know What You Did Last Summer,Shawn Mendes,canadian pop,2016,114,224
Wish That You Were Here - From Miss Peregrines Home for Peculiar Children Original Motion Picture,Florence + The Machine,art pop,2016,94,403
Hurts,Emeli Sand,dance pop,2016,106,238
Change,Christina Aguilera,dance pop,2016,82,187
Make Me... (feat. G-Eazy,Britney Spears,dance pop,2016,123,231
Keeping Your Head Up,Birdy,neo mellow,2016,122,208
True Colors,Zedd,complextro,2016,126,225
Make Me Like You,Gwen Stefani,dance pop,2016,118,217
Champagne Problems,Nick Jonas,dance pop,2016,108,193
Blown,DNCE,dance pop,2016,130,197
Start,John Legend,neo mellow,2016,110,310
Pep Rally,Missy Elliott,dance pop,2016,90,263
Higher,Carly Rae Jepsen,canadian pop,2016,114,234
Invitation,Britney Spears,dance pop,2016,112,200
One Call Away (feat. Tyga - Remix,Charlie Puth,dance pop,2016,91,192
Beautiful Birds (feat. Birdy,Passenger,folk-pop,2016,86,214
Little Lies,Hilary Duff,dance pop,2016,124,204
Do You Wanna Come Over?,Britney Spears,dance pop,2016,121,203
BURNITUP!,Janet Jackson,dance pop,2016,123,250
Picky - Remix,Joey Montana,latin,2016,186,225
Behind Your Back,Nelly Furtado,canadian latin,2016,98,228
Million Years Ago,Adele,british soul,2016,0,227
Shape of You,Ed Sheeran,pop,2017,96,234
Closer,The Chainsmokers,electropop,2017,95,245
Starboy,The Weeknd,canadian contemporary r&b,2017,186,230
Treat You Better,Shawn Mendes,canadian pop,2017,83,188
That's What I Like,Bruno Mars,pop,2017,134,207
Let Me Love You,DJ Snake,electronic trap,2017,100,206
I Feel It Coming,The Weeknd,canadian contemporary r&b,2017,93,269
Mercy,Shawn Mendes,canadian pop,2017,148,209
Side To Side,Ariana Grande,dance pop,2017,159,226
Stay,Zedd,complextro,2017,102,210
It Ain't Me (with Selena Gomez,Kygo,edm,2017,100,221
Malibu,Miley Cyrus,dance pop,2017,140,232
Something Just Like This,The Chainsmokers,electropop,2017,103,248
Rockabye (feat. Sean Paul & Anne-Marie,Clean Bandit,dance pop,2017,102,251
I Dont Wanna Live Forever (Fifty Shades Darker,ZAYN,dance pop,2017,118,245
My Way,Calvin Harris,dance pop,2017,120,219
I'm the One (feat. Justin Bieber," Quavo,  Chance the Rapper & Lil Wayne",dance pop,2017,81,289
Praying,Kesha,dance pop,2017,73,230
Despacito - Remix,Luis Fonsi,latin,2017,178,229
The Greatest,Sia,australian dance,2017,192,210
There for You,Martin Garrix,big room,2017,106,222
Paris,The Chainsmokers,electropop,2017,100,222
Crying in the Club,Camila Cabello,dance pop,2017,85,216
Mama,Jonas Blue,dance pop,2017,104,184
Slide (feat. Frank Ocean & Migos,Calvin Harris,dance pop,2017,104,231
Swish Swish,Katy Perry,dance pop,2017,120,243
Chained To The Rhythm,Katy Perry,dance pop,2017,190,238
Cold (feat. Future,Maroon 5,pop,2017,100,234
Love,Lana Del Rey,art pop,2017,99,273
Reggaeton Lento (Remix,CNCO,boy band,2017,94,189
All I Ask, None,british soul,2017,142,272
First Time,Kygo,edm,2017,90,194
The Cure,Lady Gaga,dance pop,2017,100,211
How Far I'll Go - From \Moana\,Alessia Cara,canadian contemporary r&b,2017,181,176
